web-scraper-order,web-scraper-start-url,nama_produk,diskon_produk,harga_produk
"1718834952-1","https://www.klikindomaret.com/category/sarapan","Energen Cereal Instant Kurma 10X30G","46%
Rp 26.000","Rp 14.000"
"1718834952-2","https://www.klikindomaret.com/category/sarapan","Puck Cream Cheese Spread 140G","37%
Rp 31.300","Rp 19.800"
"1718834952-3","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Kurma Tj 150G","33%
Rp 24.500","Rp 16.500"
"1718834952-4","https://www.klikindomaret.com/category/sarapan","Uray 100% Natural Honey 150G","30%
Rp 25.500","Rp 17.800"
"1718834952-5","https://www.klikindomaret.com/category/sarapan","Ceres Hagelslag Rice Choco Classic 200G","24%
Rp 23.500","Rp 17.900"
"1718834952-6","https://www.klikindomaret.com/category/sarapan","Energen Cereal & Susu Instant Vanilla 5X32G","23%
Rp 11.600","Rp 8.900"
"1718834952-7","https://www.klikindomaret.com/category/sarapan","Energen Sereal & Susu Cokelat 5X34g","23%
Rp 11.600","Rp 8.900"
"1718834952-8","https://www.klikindomaret.com/category/sarapan","Nutella Jam Spread Kecil Hazelnut 200G","20%
Rp 44.900","Rp 35.900"
"1718834952-9","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Combo Pack Honey Stars 30G","19%
Rp 9.100","Rp 7.400"
"1718834952-10","https://www.klikindomaret.com/category/sarapan","Morin Jam Peanut Butter 150G","16%
Rp 25.000","Rp 21.000"
"1718834952-11","https://www.klikindomaret.com/category/sarapan","Quaker Oatmeal Instant Merah 800G","15%
Rp 53.900","Rp 45.800"
"1718834952-12","https://www.klikindomaret.com/category/sarapan","Fitbar Cheese Fitbar 20G","15%
Rp 5.400","Rp 4.600"
"1718834952-13","https://www.klikindomaret.com/category/sarapan","Fitbar Chocolate Fitbar 20G","15%
Rp 5.400","Rp 4.600"
"1718834952-14","https://www.klikindomaret.com/category/sarapan","Fitbar Fruit Fitbar Kismis Raspbery 20G","15%
Rp 5.400","Rp 4.600"
"1718834952-15","https://www.klikindomaret.com/category/sarapan","Fitbar Tiramisu Fitbar 20G","15%
Rp 5.400","Rp 4.600"
"1718834952-16","https://www.klikindomaret.com/category/sarapan","Indomaret Madu Asli 250G","14%
Rp 34.900","Rp 29.900"
"1718834952-17","https://www.klikindomaret.com/category/sarapan","5 Days Croissant Cheese 60G","14%
Rp 7.000","Rp 6.000"
"1718834952-18","https://www.klikindomaret.com/category/sarapan","5 Days Croissant Pandan Srikaya 60G","14%
Rp 7.000","Rp 6.000"
"1718834952-19","https://www.klikindomaret.com/category/sarapan","Morin Jam Choco Peanut 150G","13%
Rp 26.600","Rp 23.100"
"1718834952-20","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Tj Murni 150G","12%
Rp 24.500","Rp 21.500"
"1718834952-21","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Tropical Cranberries 30G","10%
Rp 9.600","Rp 8.600"
"1718834952-22","https://www.klikindomaret.com/category/sarapan","Diabetasol Zero Calorie Sweetener 50'S 50X1g","10%
Rp 42.200","Rp 37.900"
"1718834952-23","https://www.klikindomaret.com/category/sarapan","Morin Jam Blueberry 170G","10%
Rp 29.700","Rp 26.700"
"1718834952-24","https://www.klikindomaret.com/category/sarapan","Sari Roti Sandroll Zuperr Krim Cheese 72G","10%
Rp 5.000","Rp 4.500"
"1718834952-25","https://www.klikindomaret.com/category/sarapan","Sari Roti Sandroll Zuperr Krim Choco","10%
Rp 5.000","Rp 4.500"
"1718834952-26","https://www.klikindomaret.com/category/sarapan","Sari Roti Sandroll Zuperr Krim Mocha","10%
Rp 5.000","Rp 4.500"
"1718834952-27","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener 50X2.5G","10%
Rp 52.000","Rp 47.000"
"1718834952-28","https://www.klikindomaret.com/category/sarapan","Goldenfil Spread Choco Crunchy 350g","9%
Rp 33.500","Rp 30.500"
"1718834952-29","https://www.klikindomaret.com/category/sarapan","Air Mancur Madurasa Original 150G","","Rp 15.500"
"1718834952-30","https://www.klikindomaret.com/category/sarapan","Arnon Roti Kasur 180G","","Rp 11.000"
"1718834952-31","https://www.klikindomaret.com/category/sarapan","Arnon Roti Manis 5'S Cream Messes 200G","","Rp 16.000"
"1718834952-32","https://www.klikindomaret.com/category/sarapan","Arnon Roti Manis Choco Roll","","Rp 7.000"
"1718834952-33","https://www.klikindomaret.com/category/sarapan","Arnon Roti Manis Cream Meises 40G","","Rp 4.000"
"1718834952-34","https://www.klikindomaret.com/category/sarapan","Bella Spread Choco Cashew 300G","","Rp 33.500"
"1718834952-35","https://www.klikindomaret.com/category/sarapan","Budy Jam Pindekas 120G","","Rp 16.900"
"1718834952-36","https://www.klikindomaret.com/category/sarapan","Budy Jam Selai Coklat 150G","","Rp 12.600"
"1718834952-37","https://www.klikindomaret.com/category/sarapan","Budy Jam Strawberry 150G","","Rp 10.200"
"1718834952-38","https://www.klikindomaret.com/category/sarapan","Ceres Choco Spread Choco Hazelnut 200G","","Rp 31.500"
"1718834952-39","https://www.klikindomaret.com/category/sarapan","Ceres Choco Spread Double Hazelnut 350G","","Rp 46.700"
"1718834952-40","https://www.klikindomaret.com/category/sarapan","Ceres Choco Spread Duo Milk Hazelnut 350G","","Rp 46.700"
"1718834952-41","https://www.klikindomaret.com/category/sarapan","Ceres Hagelslag Rice Choco Classic 80G","","Rp 10.800"
"1718834952-42","https://www.klikindomaret.com/category/sarapan","Ceres Hagelslag Rice Choco Festive 80G","","Rp 10.800"
